0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.0074504493,-0.0077282903,0.008495748,-0.009351799,-0.006644438,0.00768899,-0.010510818,0.0069320034,0.008607056,0.0038363878,0.0025333837,0.005464142,0.010692794,0.0011498677,-0.010176277,0.013041824,0.010364868,-0.00032749493,-0.0082630385,-0.0054746,-0.012480212,0.009367164,-0.0012265928,0.009738544,0.0053219814,-0.002804082,-0.009038243,0.004919313,-0.00906934,-0.0031412411,0.008402754,-0.0076968316
-0.041302305,-0.09697986,0.062464133,0.045939885,0.032429013,-0.031694144,-0.024264436,-0.034288846,0.03831854,0.032427035,0.023004381,0.019390246,-0.013826673,-0.035071913,0.019204115,-0.048672907,0.060453657,0.028633555,0.072408386,0.03984865,0.02367369,-0.035697676,0.016083313,0.027554926,-0.016169004,0.048762158,-0.010120881,0.034085277,0.01297731,0.018997837,0.027462369,-0.0056068935
-0.046591543,-0.24351986,0.35599953,0.03231246,-0.068578765,0.09279173,0.1499219,0.047696576,-0.20888466,-0.081779316,0.04145827,-0.09737808,0.0361209,0.047298178,0.15976085,-0.071987525,-0.21131128,0.15817358,0.15173812,-0.050835006,-0.11335844,0.028634293,0.027509177,-0.019417593,0.17949027,-0.04468719,-0.04805907,-0.11763475,0.106080115,-0.156628,-0.13381828,0.12405723
-0.100453444,-0.25553295,0.29640245,-0.017726183,-0.05898526,0.00015433687,0.037720352,0.04215213,-0.033562806,0.19095711,-0.005063059,-0.038761195,-0.033126194,0.02941187,0.08895816,-0.07092958,0.048003636,0.009883326,0.08652606,0.12529312,-0.023501808,0.013329826,0.064307295,-0.022363836,0.037841495,0.022928799,-0.10107153,0.029549928,-0.020437052,-0.016984906,0.038668122,-0.06417584
-0.028955698,-0.073119454,-5.2657102e-05,-0.005782909,-0.020891426,0.011987406,0.014215555,-0.015855594,-0.018336564,0.026166473,-0.028171625,0.04370347,0.042130616,-0.023472082,0.050812796,0.018469881,-0.13543086,0.02311712,0.03734334,-0.0074520125,-0.024196766,-0.0073616575,-0.020866629,0.034021407,0.016345717,-0.012280873,-0.0043337764,-0.03898519,-0.016261522,-0.01181003,-0.006450063,0.00034643908
-0.06696719,-0.27732283,0.24968629,-0.008531347,-0.089765824,-0.022815334,0.027951661,0.039332822,-0.020887168,0.21965306,-0.031982332,-0.013989791,-0.17649254,-0.016410263,0.075406164,-0.2945356,0.10792962,0.34180975,0.1303005,0.067535356,-0.02926675,0.013660047,0.038200285,-0.019990066,0.04324751,0.12359704,-0.05470195,-0.0019944366,0.1840448,-0.011088375,0.07982495,-0.044517636
-0.030947983,-0.29126188,-0.05136072,-0.019188972,-0.10031633,0.030907825,0.019064851,-0.014309102,-0.044205762,0.26352915,0.007462259,0.009770103,-0.09020201,0.11676445,0.050074738,-0.26725507,0.061391074,1.3334595e-05,0.053644747,0.046540435,-0.059211347,0.05652129,0.034470018,0.024788804,0.018693293,0.04293487,-0.05895049,-0.039908484,0.004004777,-0.040454134,0.016196484,0.004808441
-0.037362397,-0.11592693,0.06875156,0.0030555539,-0.02785576,0.019142242,0.022777488,-0.05477924,-0.043002475,0.031027747,-0.04665946,0.025623333,-0.02276545,-0.12444284,0.099299334,-0.018774949,0.039914694,0.014855366,0.107667066,-0.011315544,-0.016244141,-0.025593612,-0.044134405,0.08172461,0.019891614,-0.002982534,-0.02969852,-0.018958831,-0.003782165,-0.02799255,-0.027219824,0.0344199
-0.09536567,-0.21899062,0.18955049,0.018223831,0.003170517,-0.029976003,-0.052295666,-0.033631504,0.03957026,0.14384523,0.01698451,0.034217115,-0.067481,-0.026724141,0.07036799,-0.12539244,0.060634874,0.070251115,0.28841862,0.040188417,0.0053501646,-0.028378896,0.003966062,0.048191234,-0.03603919,0.07119748,-0.048329975,0.105589345,0.02270768,0.04514969,0.08946062,-0.04304872
0.037197363,0.00091806235,0.056948517,-0.02311167,-0.02427854,0.01084999,0.013189981,-0.014151895,-0.02952484,0.027142469,-0.03522493,0.014214699,-0.018976195,-0.049292594,0.02737836,0.011157472,0.024588736,0.043663613,0.0229288,-0.012504255,0.015347121,0.026566604,-0.032389037,0.04570255,-0.033016972,-0.028751144,0.023444341,0.026751416,-0.028523525,0.040860374,0.007282254,0.023711251
