group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Layer 5,Serpina1e,6.3047757,0.014956753,2.886117993974395e-10,2.9265236458900365e-07,1.0,1.0
Layer 5,Lyz2,5.721876,0.31762338,1.0535399210068793e-08,7.691684255287024e-06,0.5330739299610895,0.46398834304746045
Layer 5,Enho,5.653637,0.25658885,1.570880533904062e-08,1.1027581348006514e-05,0.5775430794886047,0.513044684984735
Layer 5,Mug2,5.289156,0.074515454,1.228820249684674e-07,7.234976515240217e-05,0.9777654252362423,0.9680821537607549
Layer 5,Rnase4,4.9923005,0.034131773,5.966432199654221e-07,0.0003202921191414378,0.9972206781545303,0.9977102414654455
Layer 5,Akr1c6,4.7448797,0.0203345,2.0863047806987046e-06,0.000928761825788116,0.9988882712618121,0.9986122675548155
Layer 5,BC005537,4.6226315,0.18931796,3.7890212015794834e-06,0.0015368269993606385,0.6870483602001112,0.6222592284207604
Layer 5,Scd1,4.473551,0.059696306,7.69312946033498e-06,0.002925312477292376,0.9594219010561423,0.9521232306411324
Layer 5,Mt1,4.4633937,0.057895277,8.06717156875201e-06,0.0030049390912828913,0.9494163424124513,0.9473355537052456
Layer 5,C9,4.264878,0.05284073,2.000114584926315e-05,0.006404577439311421,0.990550305725403,0.986053288925895
Layer 5,Wfdc17,4.215956,0.2281949,2.4872178151324857e-05,0.007564719100663295,0.4991662034463591,0.45233139050791005
Layer 5,Fgl1,4.163367,0.015885044,3.135889807003245e-05,0.009231654960874714,1.0,0.9985428809325562
Layer 5,Igfbp1,4.1243167,0.093546554,3.718370641648244e-05,0.010772650944660912,0.9038354641467482,0.8825284485151262
Layer 5,Ces1c,4.083338,0.030187465,4.43934537796516e-05,0.012465681821326168,0.9977765425236242,0.9953510963086317
Layer 5,Ctsd,3.8246212,0.0684047,0.00013097327234943865,0.03041471104762887,0.9282934963868816,0.9180543991118513
Layer 6,Cyp2f2,15.22954,0.22192562,2.251707058477311e-52,5.1372696539159845e-49,0.9866518353726362,0.9667661139249288
Layer 6,Cps1,13.934673,0.06450181,3.899809790047217e-44,6.470848026176528e-41,0.9994438264738599,0.9995143273433705
Layer 6,Arg1,13.264363,0.110698424,3.7257227312293944e-40,5.23091471464607e-37,0.9927697441601779,0.9911885103725803
Layer 6,Hsd17b13,11.874925,0.20351931,1.5977827028289128e-32,1.5348805206333326e-29,0.9816462736373749,0.9552487337820024
Layer 6,Igfbp2,10.962964,0.10660043,5.758201115206973e-28,4.379111948114903e-25,0.9894327030033371,0.9835565114826892
Layer 6,Mup20,10.930711,0.04113481,8.220233833263193e-28,6.001428316988792e-25,1.0,1.0
Layer 6,Apoc2,9.979856,0.03947415,1.8673779391081762e-23,1.1361127381534143e-20,0.9994438264738599,0.9996530909595505
Layer 6,Traf5,9.765468,0.044857047,1.5838015965042776e-22,8.759862648301841e-20,0.9994438264738599,0.9987511274543814
Layer 6,Serpina1e,9.34351,0.024351267,9.319268833754236e-21,4.5971701284779e-18,1.0,1.0
Layer 6,Pigr,9.168528,0.20488453,4.795217353330035e-20,2.3032186087626263e-17,0.932146829810901,0.8869076528134323
Layer 6,Ly6e,9.053823,0.1642133,1.3804785540029026e-19,6.145486479917311e-17,0.9543937708565072,0.9306875737181711
Layer 6,C9,9.009965,0.075398065,2.0612308401147787e-19,8.749205882273243e-17,0.9872080088987765,0.9864705474224659
Layer 6,Gls2,8.430449,0.32924476,3.443440364834949e-17,1.3372270965737766e-14,0.6885428253615128,0.5964754041490321
Layer 6,Sds,8.113906,0.3177958,4.901792348738221e-16,1.7205291144071157e-13,0.7080088987764183,0.6062582390897107
Layer 6,Ass1,7.731158,0.041283026,1.0657269256135509e-14,3.670122235150666e-12,0.9977753058954394,0.9973634912925831
Layer 6,Spp1,7.6693177,0.21679318,1.729136544242768e-14,5.738218219185273e-12,0.8414905450500556,0.8071185735100257
Layer 6,Hal,7.645655,0.21531533,2.0788387118484294e-14,6.775529315831702e-12,0.8843159065628476,0.8243946437244155
Layer 6,Sfxn1,7.4127135,0.32165474,1.2374095245479607e-13,3.8939997658705824e-11,0.6201334816462737,0.5350725039894539
Layer 6,Alb,7.194047,0.014976965,6.289863216903034e-13,1.8820095645067898e-10,1.0,1.0
Layer 6,Fbp1,7.1072936,0.03151823,1.1834057461685546e-12,3.3749252623544467e-10,0.9972191323692993,0.997432873100673
Layer 7,Cyp2f2,25.538507,0.32257712,7.367455936947461e-144,1.9210115108737864e-140,0.9916759156492786,0.9661322784370879
Layer 7,Mup20,24.523056,0.09148721,8.386356947757184e-133,1.7007531890051568e-129,1.0,1.0
Layer 7,Hsd17b13,23.781017,0.3308529,5.250478721805468e-125,9.583173763039339e-122,0.9861265260821309,0.9546811020889722
Layer 7,Arg1,19.388313,0.16244842,9.686211169162032e-84,1.178618175063636e-80,0.9966703662597114,0.9907002567839545
Layer 7,Cps1,19.302738,0.08211262,5.093676720861366e-83,5.8106117193226025e-80,0.9988901220865705,0.9995835935873413
Layer 7,Hal,18.002913,0.43968478,1.8483686020261755e-72,1.775601248641145e-69,0.9195338512763596,0.8199736275938649
Layer 7,Sds,17.08222,0.63903403,2.0131132851687416e-65,1.5975366817782554e-62,0.7763596004439511,0.5976820043028662
Layer 7,Traf5,17.005085,0.073413014,7.5296788713159535e-65,5.726320781635782e-62,0.9994450610432852,0.9987507807620237
Layer 7,Ly6e,16.63004,0.27094698,4.223218215357407e-62,3.083287154668136e-59,0.9622641509433962,0.9296967173294469
Layer 7,Gm5096,15.934164,0.051519074,3.67074537683507e-57,2.3102911937239206e-54,1.0,0.9998611978624471
Layer 7,Apoc2,15.645903,0.061268292,3.5431040556212684e-55,2.1556245074399797e-52,1.0,0.9995835935873413
Layer 7,Bhmt,15.559749,0.048459463,1.3663410152525783e-54,8.044663293674212e-52,1.0,0.9999305989312235
Layer 7,C9,14.790768,0.13762367,1.6802734667768116e-49,9.293439792609201e-47,0.9927857935627081,0.9857727809008259
Layer 7,Selenop,14.359668,0.03329125,9.267028537127875e-47,4.698383468323832e-44,1.0,1.0
Layer 7,Gls2,14.31717,0.53260165,1.709431697104318e-46,8.210670351460004e-44,0.732519422863485,0.5909501006315497
Layer 7,Serpina1e,13.882635,0.033023022,8.072103397129814e-44,3.507905504866985e-41,1.0,1.0
Layer 7,Alb,13.41679,0.026330952,4.821460772512233e-41,1.955584489330962e-38,1.0,1.0
Layer 7,Serpina12,13.108037,0.41099477,2.961667076979987e-39,1.1261739060216399e-36,0.802441731409545,0.6974113401346381
Layer 7,Selenbp2,13.069944,0.1453324,4.890156566745217e-39,1.785102753124674e-36,0.9850166481687015,0.9759872302033451
Layer 7,Rida,12.997104,0.13368532,1.270652201493768e-38,4.547439996404756e-36,0.983906770255272,0.9766118398223332
Layer 8,Cyp2f2,34.941204,0.41422725,1.7614502842221573e-267,8.037497646905704e-264,0.9944444444444445,0.9657900215113455
Layer 8,Mup20,34.4189,0.12975691,1.3152514715326888e-259,3.429424265487805e-256,1.0,1.0
Layer 8,Hsd17b13,34.25919,0.43372586,3.1825594255876797e-257,7.261009329478291e-254,0.9911111111111112,0.9540628686420096
Layer 8,Sds,27.244032,0.9514523,1.9557755984053623e-163,2.7459089401611286e-160,0.8383333333333334,0.5899659981958226
Layer 8,Hal,26.557049,0.61043465,2.1292174394556664e-155,2.7758911932103445e-152,0.945,0.8168066060648116
Layer 8,Gm5096,24.807474,0.077707626,7.445799075850051e-136,7.152669722758691e-133,1.0,0.9998612171258067
Layer 8,Selenbp2,24.58152,0.26510805,1.9913711796122186e-133,1.8173253385141107e-130,0.9905555555555555,0.9752966483935882
Layer 8,Bhmt,23.7111,0.07081095,2.770175996468444e-124,2.29823874034282e-121,1.0,0.9999306085629034
Layer 8,Arg1,23.59545,0.18060113,4.291803949374967e-123,3.263916903499662e-120,0.995,0.9909097217403372
Layer 8,Cps1,23.27189,0.094807245,8.541096205644419e-120,5.995849536362382e-117,0.9988888888888889,0.99958365137742
Layer 8,Ly6e,22.38385,0.3579937,5.654419674643467e-111,3.440148930053085e-108,0.9755555555555555,0.9280410797307612
Layer 8,Selenop,22.0211,0.05006258,1.8082597612028185e-107,1.0646566826281885e-104,1.0,1.0
Layer 8,C9,20.433386,0.16722873,8.443995240855413e-93,4.403422889602657e-90,0.9911111111111112,0.9859829297064743
