group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Layer 1,Gm49388,14.673186,0.20132762,9.574175658904036e-49,1.0853903983001023e-46,0.974972191323693,0.9525428432664955
Layer 1,Cldn2,14.64469,0.48833084,1.4566481294027217e-48,1.6310884452673912e-46,0.7814238042269188,0.6555193228335531
Layer 1,Hsd17b12,14.591817,0.3243029,3.16648656978838e-48,3.5240678580352135e-46,0.9010011123470523,0.8370915146048706
Layer 1,Fmo1,14.514262,0.61214954,9.841133294665673e-48,1.0886082720862901e-45,0.6763070077864294,0.5157843613404566
Layer 1,Ces1f,14.496948,0.2331196,1.2665633829039163e-47,1.392609329202547e-45,0.9493882091212458,0.9192395753833345
Layer 1,Rdh16,14.349195,0.693879,1.0778224038244465e-46,1.1640481961304022e-44,0.6067853170189099,0.44140706306806354
Layer 1,1810058I24Rik,14.336378,0.32365558,1.2964679940555645e-46,1.3838089957603606e-44,0.9076751946607341,0.8411850412821759
Layer 1,Sord,14.148132,0.08034261,1.9178445328263452e-45,2.023381411164535e-43,0.9938820912124583,0.9938944008880871
Layer 1,Mettl7b,14.076805,0.065346286,5.274061224292594e-45,5.5006951694736244e-43,0.9988876529477196,0.9977797821411226
Layer 1,Tmem97,13.894994,0.5754031,6.79295444188892e-44,6.888055804075364e-42,0.6879866518353727,0.5378477763130507
Layer 1,Fdps,13.743007,0.7117094,5.609704491692297e-43,5.594990512697695e-41,0.5717463848720801,0.40130437799209046
Layer 1,Prodh,13.616346,0.5806457,3.201896737768825e-42,3.1761423509650324e-40,0.6635150166852057,0.5166863248456255
Layer 1,Cyp7b1,13.346322,0.10352907,1.2444231692653154e-40,1.2211404131951902e-38,0.9944382647385984,0.988898910705613
Layer 1,Saa4,13.219639,0.18319783,6.7588046001990495e-40,6.561792636320908e-38,0.9716351501668521,0.950461389023798
Layer 1,Sult2a8,13.198653,0.38742915,8.93171971107075e-40,8.625489320976895e-38,0.8286985539488321,0.7300353847221258
Layer 1,Mgst1,13.145621,0.026100757,1.8031914610384015e-39,1.7322026603617318e-37,1.0,1.0
Layer 1,Msmo1,13.048061,0.40905318,6.518511535399756e-39,6.2291032745610645e-37,0.8120133481646273,0.7058211336987442
Layer 1,Ces3a,13.040969,0.05821772,7.154172543698275e-39,6.765697267750306e-37,0.9983314794215795,0.9971553458683133
Layer 1,C6,12.885749,0.18033896,5.414745950595866e-38,5.0682022097577305e-36,0.9771968854282537,0.9539998612363838
Layer 1,Ces2e,12.812688,0.2773534,1.392268953178768e-37,1.2899336514425824e-35,0.9093437152391546,0.8534656213140914
Layer 1,Slc22a3,12.744405,1.0080913,3.349367315744416e-37,3.056632612348354e-35,0.40989988876529476,0.2531048359120239
Layer 1,Cyp51,12.737951,0.4206043,3.638223851155656e-37,3.3037244642434347e-35,0.7803114571746385,0.6706445569971553
Layer 1,Idh1,12.632076,0.26102808,1.4052136588717717e-36,1.2634462907254965e-34,0.9276974416017798,0.8767085270242142
Layer 1,Plbd1,12.624263,0.6725883,1.5518864224583325e-36,1.3884819109171316e-34,0.550055617352614,0.3971414695066953
Layer 1,Adtrp,12.584497,0.2726987,2.5697340026263957e-36,2.2768342240746102e-34,0.9199110122358176,0.8637341289113994
Layer 1,Creg1,12.570786,0.07868939,3.056689451864854e-36,2.6952026992964883e-34,0.9911012235817576,0.99146603760494
Layer 1,Rdh9,12.514309,0.87411666,6.234801659187248e-36,5.47103845593681e-34,0.43548387096774194,0.27523763269270796
Layer 1,Ugt2b35,12.44896,0.31183052,1.416788407328482e-35,1.2313915243123549e-33,0.8492769744160178,0.7814473045167557
Layer 1,Grina,12.446238,0.23151669,1.4659495776403859e-35,1.268081122800584e-33,0.9404894327030033,0.9003677235828765
Layer 1,Eci2,12.436179,0.23339319,1.6626913730109167e-35,1.4314831575563798e-33,0.9343715239154616,0.8941927426628737
Layer 1,Npr2,12.390062,1.3907845,2.958142544486375e-35,2.534836512768325e-33,0.3114571746384872,0.14167765211961425
Layer 1,Akr1c20,12.307261,0.43196902,8.278515882303168e-35,7.02788241319988e-33,0.7202447163515017,0.6197876916672449
Layer 1,Acadm,12.289513,0.21950054,1.0312637667024267e-34,8.714178828635506e-33,0.9349276974416018,0.8975924512592798
Layer 1,Avpr1a,12.202026,0.79047495,3.0318204969286205e-34,2.5383847573367514e-32,0.4621802002224694,0.3004232290293485
Layer 1,Slc10a1,11.940447,0.12370316,7.283070376584099e-33,6.069890434402419e-31,0.978865406006674,0.9716228404912232
Layer 1,Etnk2,11.926229,0.1560568,8.64002824325645e-33,7.168081613450761e-31,0.9716351501668521,0.9549018247415527
Layer 1,Gstt3,11.87928,0.9028935,1.5166774643240596e-32,1.2469548233712943e-30,0.41156840934371525,0.25476999930618194
Layer 1,Paqr9,11.707243,0.18586926,1.1702260293348655e-31,9.450869684699099e-30,0.9666295884315906,0.9377645181433428
Layer 1,Hsd17b10,11.569448,0.46902597,5.885990254720869e-31,4.6913141541120214e-29,0.6679644048943271,0.5529036286685631
Layer 1,Nsdhl,11.565408,0.79492086,6.169735936798902e-31,4.896087839932763e-29,0.44160177975528364,0.2900853396239506
Layer 1,Hpd,11.476279,0.076274134,1.7359142437359378e-30,1.3598243251788987e-28,0.9972191323692993,0.9936862554638174
Layer 1,Gm43738,11.465243,0.696637,1.972054863105382e-30,1.538202793222198e-28,0.4860956618464961,0.33011864289183374
Layer 1,Rcc1,11.424259,1.0479231,3.163414979217241e-30,2.456963838326514e-28,0.3420467185761958,0.18073961007423853
Layer 1,Cdo1,11.323899,0.071314335,9.992635203214776e-30,7.69559399700743e-28,0.996662958843159,0.9946576007770762
Layer 1,Notum,11.185291,0.83926433,4.8132015870761174e-29,3.660439806971387e-27,0.39933259176863184,0.24491778255741345
Layer 1,Hacd3,10.989678,0.34774408,4.284517705444756e-28,3.218148854311839e-26,0.7842046718576196,0.6930548810101991
Layer 1,Dhcr24,10.943507,0.17009988,7.138359218707024e-28,5.339726740157401e-26,0.9610678531701891,0.936723791021994
Layer 1,Nrn1,10.88784,0.45812455,1.3172721650861065e-27,9.813408798837395e-26,0.6523915461624027,0.5316727953930479
Layer 1,Nr1i3,10.873103,0.23467366,1.5484331421452736e-27,1.1488618581477858e-25,0.9204671857619577,0.8680358010129744
Layer 1,Ces1g,10.846645,0.47275463,2.068793586433077e-27,1.528729576501074e-25,0.6423804226918799,0.5163394158051758
Layer 1,Tbx3,10.815132,1.1106032,2.9187201025013365e-27,2.1480838431796125e-25,0.3120133481646274,0.16061888572816208
Layer 1,Fmo5,10.798297,0.09620226,3.506461823913333e-27,2.570278763456472e-25,0.9911012235817576,0.9853604384930271
Layer 1,Chchd10,10.789966,0.055107147,3.839348888899481e-27,2.803031836807733e-25,0.9988876529477196,0.9972941094844932
Layer 1,Egln3,10.738624,0.67192346,6.703598762389207e-27,4.874664725542941e-25,0.4621802002224694,0.3174911538194685
Layer 1,Ehhadh,10.6506815,0.4551217,1.730928109671669e-26,1.2438149550286341e-24,0.6123470522803115,0.4953167279539305
Layer 1,Abhd6,10.625143,0.677883,2.276620032705664e-26,1.6295242681154422e-24,0.4599555061179088,0.3217928259210435
Layer 1,Akr1c6,10.596019,0.047003556,3.109359643173215e-26,2.216876258093653e-24,0.9994438264738599,0.9985429820301117
Layer 1,Slco1a1,10.593106,0.22672977,3.2076734409784436e-26,2.27807220407543e-24,0.8937708565072302,0.851314785263304
Layer 1,Prdx6,10.49343,0.08198138,9.260409290740145e-26,6.451182838724776e-24,0.9944382647385984,0.9898702560188718
Layer 1,Cyp2c69,10.437261,2.1335993,1.6757705667864557e-25,1.1541948824523166e-23,0.20244716351501668,0.05404842850204676
Layer 1,Upf2,10.40885,0.8179735,2.2593550996731675e-25,1.550291326287017e-23,0.371523915461624,0.2255602581003261
Layer 1,Csrp2,10.339415,0.48527408,4.673825266713055e-25,3.19500594636879e-23,0.592880978865406,0.47949767570942897
Layer 1,Nxpe2,10.292461,1.0313092,7.620299571041595e-25,5.170472407830899e-23,0.3153503893214683,0.1724137931034483
Layer 1,Fabp2,10.276955,0.22483598,8.951126147727335e-25,6.050961275863679e-23,0.8870967741935484,0.8429195864844238
Layer 1,Ttc38,10.233897,0.33714202,1.3977828797024084e-24,9.414145062851792e-23,0.7703003337041157,0.685492263928398
Layer 1,Tdo2,10.189314,0.061130445,2.2131980211502932e-24,1.4851209662512922e-22,0.9961067853170189,0.9945882189689863
